date,acres,county,cause,lat,lon,binlat,binlon
Jun,0.3,SPOKANE,Lightning,47.404022,-117.64774,2,8
Jul,0.1,THURSTON,Miscellaneou,47.055775,-122.756967,2,3
Aug,0.5,THURSTON,Miscellaneou,47.055775,-122.756967,2,3
Jul,0.1,THURSTON,Miscellaneou,47.055775,-122.756967,2,3
Aug,0.0,CLARK,Miscellaneou,45.77227,-122.498295,4,3
Sep,0.1,LEWIS,Debris Burn,46.570878,-122.90564,3,3
Sep,0.2,ISLAND,Debris Burn,48.096153,-122.406393,1,3
Aug,0.1,KLICKITAT,Railroad,45.702177,-121.44238,4,4
Sep,0.0,MASON,Miscellaneou,47.263343,-122.8792,2,3
Jun,0.1,PIERCE,Miscellaneou,47.051969,-122.683216,2,3
Nov,0.1,PIERCE,Miscellaneou,47.051969,-122.683216,2,3
Aug,0.1,STEVENS,Miscellaneou,48.842178,-117.640262,1,8
Oct,0.0,SKAGIT,Recreation,48.354084,-122.304938,1,3
Jul,0.1,MASON,Recreation,47.230507,-122.96885,2,3
Jun,4.2,OKANOGAN,Lightning,48.789364,-118.850376,1,7
Jan,0.0,OKANOGAN,Lightning,48.789364,-118.850376,1,7
Aug,0.3,PIERCE,Debris Burn,46.755779,-122.140068,3,3
Jul,0.5,PACIFIC,Children,46.468601,-124.044387,3,1
Sep,0.1,PACIFIC,Debris Burn,46.468601,-124.044387,3,1
Jun,0.2,PACIFIC,Debris Burn,46.468601,-124.044387,3,1
Jul,0.1,PACIFIC,Debris Burn,46.468601,-124.044387,3,1
Jul,0.3,PACIFIC,Miscellaneou,46.468601,-124.044387,3,1
Jul,0.2,PACIFIC,Debris Burn,46.468601,-124.044387,3,1
Jul,0.1,PACIFIC,Miscellaneou,46.468601,-124.044387,3,1
Jul,0.1,PACIFIC,Miscellaneou,46.468601,-124.044387,3,1
Aug,13.2,COWLITZ,Miscellaneou,46.306134,-122.914624,3,3
Jun,1.0,KLICKITAT,Debris Burn,45.994683,-121.536778,4,4
Jul,0.1,SPOKANE,Miscellaneou,47.33489,-117.808761,2,8
Aug,0.5,SNOHOMISH,Miscellaneou,47.948827,-121.671535,2,4
Aug,0.1,PACIFIC,Arson,46.352853,-124.026339,3,1
Apr,0.1,SPOKANE,Debris Burn,47.578099,-117.327967,2,8
Sep,0.1,CLALLAM,Lightning,48.049208,-123.479357,1,2
Jul,0.1,SNOHOMISH,Arson,47.985602,-122.17328,2,3
Jan,0.0,SPOKANE,Debris Burn,47.934696,-117.404188,2,8
Apr,0.2,YAKIMA,Lightning,46.598123,-120.911623,3,5
Sep,0.25,WHATCOM,Recreation,48.940866,-122.651954,1,3
Aug,0.0,KITTITAS,Miscellaneou,47.21134,-120.698697,2,5
Jul,0.0,MASON,Arson,47.439653,-123.085936,2,2
Aug,0.0,MASON,Recreation,47.439653,-123.085936,2,2
Aug,0.1,KLICKITAT,Lightning,45.922447,-121.562435,4,4
Jul,0.1,SKAGIT,Debris Burn,48.442694,-122.580038,1,3
Aug,1.7,PACIFIC,Recreation,46.383664,-124.052995,3,1
Aug,0.1,SAN JUAN,Recreation,48.651771,-122.879598,1,3
Aug,0.1,KITTITAS,Miscellaneou,47.185189,-121.146447,2,4
Sep,0.1,THURSTON,Debris Burn,46.947348,-122.868102,3,3
Jun,0.0,OKANOGAN,Lightning,48.936014,-119.328586,1,6
Jul,0.1,YAKIMA,Recreation,46.736902,-120.80258,3,5
Apr,0.1,YAKIMA,Recreation,46.770568,-120.932561,3,5
Sep,0.1,SKAMANIA,Debris Burn,45.648658,-122.241273,4,3
Aug,150.0,SPOKANE,Recreation,48.039586,-117.403996,1,8
Sep,0.1,MASON,Children,47.386601,-122.927118,2,3
Jul,1.5,THURSTON,Arson,46.957936,-122.783638,3,3
Jul,0.3,THURSTON,Arson,46.957936,-122.783638,3,3
Sep,0.1,PEND OREILLE,Miscellaneou,48.168647,-117.163579,1,8
Jun,0.1,KITTITAS,Miscellaneou,47.226362,-120.587324,2,5
Sep,0.1,THURSTON,Miscellaneou,47.11397,-122.793973,2,3
Aug,0.2,THURSTON,Recreation,47.11397,-122.793973,2,3
Oct,0.2,THURSTON,Children,47.11397,-122.793973,2,3
May,0.0,THURSTON,Children,47.11397,-122.793973,2,3
Mar,1.5,THURSTON,Debris Burn,47.11397,-122.793973,2,3
Aug,1.0,THURSTON,Debris Burn,47.11397,-122.793973,2,3
Jun,0.1,OKANOGAN,Recreation,48.919999,-119.835224,1,6
Aug,0.1,OKANOGAN,Lightning,48.78665,-119.623377,1,6
Sep,0.0,KITSAP,Debris Burn,47.613981,-122.724627,2,3
Aug,0.0,MASON,Debris Burn,47.222838,-123.235093,2,2
Mar,1.0,MASON,Debris Burn,47.222838,-123.235093,2,2
Oct,0.1,MASON,Children,47.222838,-123.235093,2,2
Aug,0.1,MASON,Railroad,47.222838,-123.235093,2,2
Aug,1.0,CLARK,Miscellaneou,45.859049,-122.651333,4,3
Aug,0.5,SPOKANE,Lightning,47.986952,-117.417518,2,8
Oct,1.3,KING,Smoker,47.269,-121.394593,2,4
Jan,0.0,STEVENS,Miscellaneou,48.52389,-117.776717,1,8
Aug,0.1,THURSTON,Debris Burn,46.787276,-122.90028,3,3
Aug,120.0,SPOKANE,Debris Burn,47.909279,-117.387636,2,8
Oct,0.0,STEVENS,Miscellaneou,48.810813,-117.821366,1,8
May,0.5,MASON,Arson,47.332035,-122.841065,2,3
Aug,0.0,COWLITZ,Logging,46.351208,-122.542107,3,3
Jul,0.0,COWLITZ,Children,46.351208,-122.542107,3,3
Aug,2.0,LEWIS,Miscellaneou,46.545077,-122.238941,3,3
Jul,3.0,CLALLAM,Miscellaneou,48.094266,-123.221832,1,2
Oct,0.0,KING,Recreation,47.490525,-121.809587,2,4
Jun,3.0,STEVENS,Lightning,48.766561,-117.965915,1,8
Jul,0.1,STEVENS,Debris Burn,48.766561,-117.965915,1,8
Jul,0.2,THURSTON,Children,46.988873,-122.833837,3,3
Jul,0.2,SPOKANE,Arson,47.867687,-117.37909,2,8
Jun,0.1,SPOKANE,Logging,47.867687,-117.37909,2,8
Sep,0.1,SKAGIT,Miscellaneou,48.505558,-121.735993,1,4
Jul,0.5,KING,Debris Burn,47.350737,-121.98497,2,4
May,0.0,KING,Logging,47.350737,-121.98497,2,4
Sep,0.1,KING,Recreation,47.350737,-121.98497,2,4
Jan,0.0,STEVENS,Miscellaneou,48.192138,-117.750547,1,8
Jul,1.0,PIERCE,Debris Burn,47.396272,-122.790596,2,3
Jul,0.0,MASON,Recreation,47.294713,-123.217895,2,2
May,0.1,MASON,Debris Burn,47.294713,-123.217895,2,2
Sep,0.5,SPOKANE,Miscellaneou,47.510271,-117.473616,2,8
Oct,0.1,SPOKANE,Miscellaneou,47.510271,-117.473616,2,8
Jun,0.0,KING,Recreation,47.731634,-121.860649,2,4
Aug,30.0,SPOKANE,Railroad,47.578,-117.478649,2,8
Jun,0.0,MASON,Lightning,47.169848,-123.189445,2,2
